Code PTF Voie,Code PTF Station,NÂ° de voie
A55_1_M5F_VRA,M5f,1
A55_1_M5F_VLE,M5f,0
A55_2_M5f_VLE,M5f,2
A55_2_M5f_VRA,M5f,3
A55_1_M5M_VMD,M5m,1
A55_1_M5M_VLE,M5m,0
A55_1_M5M_VRA,M5m,2
A55_2_M5m_VLE,M5m,3
A55_2_M5m_VMD,M5m,4
A55_2_M5m_VRA,M5m,5
RN569_1_MBT_VLE,MBT,0
RN569_2_MBT_VLE,MBT,2
RN569_1_MBT_VRA,MBT,1
RN569_2_MBT_VRA,MBT,3
A50-INTVRA_RDTCMA047,TPA-EXTBAU_RDTSTC004,6
BSF3EXTVLE_RDTCMA033,TPA-EXTBAU_RDTSTC004,1
A50-EXTVLE_RDTCMA037,TPA-EXTBAU_RDTSTC004,5
BSF3EXTVRA_RDTCMA035,TPA-EXTBAU_RDTSTC004,3
BEF3INTVMD_RDTCMA041,TPA-EXTBAU_RDTSTC004,0
A50-EXTVRA_RDTCMA039,TPA-EXTBAU_RDTSTC004,7
A50-INTVLE_RDTCMA045,TPA-EXTBAU_RDTSTC004,4
BEF3INTVRA_RDTCMA043,TPA-EXTBAU_RDTSTC004,2
A501_1_M4K_VLE,M4k,0
A501_2_M4k_VLE,M4k,2
A501_1_M4K_VRA,M4k,1
A501_2_M4k_VRA,M4k,3
A50_2_M3i_VMD,M3i,1
A50_2_M3i_VLE,M3i,0
A50_2_M3i_VRA,M3i,2
A51_1_M1C_VMD,M1C,1
A51_1_M1C_VLE,M1C,0
A51_1_M1C_VRA,M1C,2
A7_1_M7R_VMD,M7R,1
A7_1_M7R_VLE,M7R,0
A7_1_M7R_VRA,M7R,2
A501_1_M4O_VRA,M4o,1
A501_1_M4O_VLE,M4o,0
A501_2_M4o_VRA,M4o,3
A501_2_M4o_VLE,M4o,2
A51_2_M1f_VMD,M1f,1
A51_2_M1f_VLE,M1f,0
A51_2_M1f_VRA,M1f,2
A51_2_m1f_BRE,M1f,4
A51_2_M1f_BAU,M1f,3
A7_1_M8J_VLE,M8J,0
A7_1_M8J_VMD,M8J,1
A7_1_M8J_VRA,M8J,2
A51_1_M1Y_VLE,M1Y,0
A51_1_M1Y_VRA,M1Y,1
A50_2_M3w_VLE,M3w,0
A50_2_M3w_VRA,M3w,2
A50_2_M3w_VMD,M3w,1
SMA-EXTVLE_RDTBEM010,SMA-INTBAU_RDTSCB001,1
SMA-INTVLE_RDTBEM014,SMA-INTBAU_RDTSCB001,0
SMA-EXTVRA_RDTBEM012,SMA-INTBAU_RDTSCB001,3
SMA-INTVRA_RDTBEM018,SMA-INTBAU_RDTSCB001,4
SMA-INTVMD_RDTBEM016,SMA-INTBAU_RDTSCB001,2
A51_2_M1g_VMD,M1g,1
A51_2_M1g_VLE,M1g,0
A51_2_M1g_BAU,M1g,3
A51_2_M1g_VRA,M1g,2
A51_2_M1g_BRS,M1g,4
A50_2_M3j_VMD,M3j,4
A50_1_M3J_VLE,M3j,0
A50_2_M3j_VRA,M3j,5
A50_1_M3J_VRA,M3j,2
A50_1_M3J_VMD,M3j,1
A50_2_M3j_VLE,M3j,3
A50_1_M3A_VMD,M3A,1
A50_1_M3A_VLE,M3A,0
A50_1_M3A_VRA,M3A,2
A51_2_M1c_VLE,M1c,0
A51_2_M1c_VMD,M1c,1
A51_2_M1c_BAU,M1c,3
A51_2_M1c_VRA,M1c,2
A7_2_M7o_VLE,M7o,0
A7_2_M7o_VMD,M7o,1
A7_2_M7o_VRA,M7o,2
A7_2_M8d_VLE,M8d,0
A7_2_M8d_VRA,M8d,2
A7_2_M8d_VMD,M8d,1
A51_1_M1E_VMD,M1E,1
A51_1_M1E_VLE,M1E,0
A51_1_M1E_VRA,M1E,2
A7_1_M8F_VLE,M8F,0
A7_1_M8F_VRA,M8F,2
A7_1_M8F_VMD,M8F,1
A7_1_M8f_VMD,M8F,4
A7_1_M8f_VLE,M8F,3
A7_1_M8f_VRA,M8F,5
A55_2_M5n_VRA,M5n,5
A55_2_M5n_VMD,M5n,4
A55_1_M5N_VLE,M5n,0
A55_1_M5N_VRA,M5n,2
A55_1_M5N_VMD,M5n,1
A55_2_M5n_VLE,M5n,3
A50_2_M3l_VLE,M3l,0
A50_2_M3l_VRA,M3l,2
A50_2_M3l_VMD,M3l,1
A7_2_M8e_VMD,M8e,1
A7_2_M8e_VLE,M8e,0
A7_2_M8e_VRA,M8e,2
A7_1_M7P_VMD,M7P,1
A7_1_M7P_VLE,M7P,0
A7_1_M7P_VRA,M7P,2
A51_2_M1y_VRA,M1y,1
A51_2_M1y_VLE,M1y,0
SPF-EXTVLE_RDTCMA003,SPF-EXTBAU_RDTSTC001,3
BE05EXTVLE_RDTCMA001,SPF-EXTBAU_RDTSTC001,1
SPF-EXTVRA_RDTCMA007,SPF-EXTBAU_RDTSTC001,7
SPF-EXTVMD_RDTCMA005,SPF-EXTBAU_RDTSTC001,5
SFB-INTVMD_RDTBEM003,SFB-TPCCEN_RDTSCB001,4
SFB-INTVLE_RDTBEM001,SFB-TPCCEN_RDTSCB001,2
BE04INTVLE_RDTBEM007,SFB-TPCCEN_RDTSCB001,0
SFB-INTVRA_RDTBEM005,SFB-TPCCEN_RDTSCB001,6
SFB-EXTVMD_RDTBEM011,SFB-TPCCEN_RDTSCB001,5
SFB-EXTVLE_RDTBEM009,SFB-TPCCEN_RDTSCB001,3
BS04EXTVLE_RDTBEM015,SFB-TPCCEN_RDTSCB001,1
SFB-EXTVRA_RDTBEM013,SFB-TPCCEN_RDTSCB001,7
A7_2_M7t_VLE,M7t,0
A7_2_M7t_VRA,M7t,1
A7_1_M7J_VMD,M7J,1
A7_1_M7J_VLE,M7J,0
A7_1_M7J_VRA,M7J,2
A55_2_M5o_VMD,M5o,4
A55_2_M5o_VLE,M5o,3
A55_2_M5o_VRA,M5o,5
A55_1_M5O_VLE,M5o,0
A55_1_M5O_VRA,M5o,1
A7_2_M7r_VRA,M7r,1
A7_2_M7r_VLE,M7r,0
BE03EXTVLE_RDTCMA013,SMT-EXTBAU_RDTSTC002,1
SMT-EXTVRA_RDTCMA017,SMT-EXTBAU_RDTSTC002,5
SMT-EXTVLE_RDTCMA015,SMT-EXTBAU_RDTSTC002,3
BS03INTVLE_RDTCMA019,SMT-EXTBAU_RDTSTC002,0
SMT-INTVLE_RDTCMA021,SMT-EXTBAU_RDTSTC002,2
SMT-INTVRA_RDTCMA023,SMT-EXTBAU_RDTSTC002,4
A51_2_M1d_VRA,M1d,2
A51_2_M1d_VMD,M1d,1
A51_2_M1d_VLE,M1d,0
A51_2_M1d_BAU,M1d,3
A7_2_M7p_VLE,M7p,0
A7_2_M7p_VRA,M7p,1
TPA-EXTVLE_RDTCMA005,TPA-EXTBAU_RDTSTC001,5
BE06EXTVRA_RDTCMA003,TPA-EXTBAU_RDTSTC001,3
TPA-EXTVRA_RDTCMA007,TPA-EXTBAU_RDTSTC001,7
BS06INTVRA_RDTCMA011,TPA-EXTBAU_RDTSTC001,2
BS06INTVLE_RDTCMA009,TPA-EXTBAU_RDTSTC001,0
TPA-INTVRA_RDTCMA015,TPA-EXTBAU_RDTSTC001,6
TPA-INTVLE_RDTCMA013,TPA-EXTBAU_RDTSTC001,4
BE06EXTVLE_RDTCMA001,TPA-EXTBAU_RDTSTC001,1
TPA-EXTVLE_RDTCMA019,TPA-EXTBAU_RDTSTC002,3
BS05EXTVLE_RDTCMA017,TPA-EXTBAU_RDTSTC002,1
TPA-EXTVRA_RDTCMA023,TPA-EXTBAU_RDTSTC002,7
TPA-EXTVMD_RDTCMA021,TPA-EXTBAU_RDTSTC002,5
A7_2_M8n_VMD,M8n,1
A7_2_M8n_VLE,M8n,0
A7_2_M8n_VRA,M8n,2
A55_2_m5y_VRA,M5y,3
A55_2_M5y_VRA,M5y,1
A55_2_M5y_VLE,M5y,0
A55_2_m5y_VLE,M5y,2
A7_1_M7V_VRA,M7V,1
A7_1_M7V_VLE,M7V,0
A55_2_M5j_VRA,M5J,5
A55_1_M5J_VLE,M5J,0
A55_1_M5J_VRA,M5J,2
A55_1_M5J_VMD,M5J,1
A55_2_M5j_VMD,M5J,4
A55_2_M5j_VLE,M5J,3
RN568_1_MBO_VRA,MBO,1
RN568_1_MBO_VLE,MBO,0
RN568_2_MBO_VRA,MBO,3
RN568_2_MBO_VLE,MBO,2
SOM-INTVRA_RDTBEM042,SOM-INTN01_RDTSCB003,4
SOM-EXTVLE_RDTBEM032,SOM-INTN01_RDTSCB003,1
SOM-EXTVRA_RDTBEM036,SOM-INTN01_RDTSCB003,5
SOM-EXTVMD_RDTBEM034,SOM-INTN01_RDTSCB003,3
SOM-INTVMD_RDTBEM040,SOM-INTN01_RDTSCB003,2
SOM-INTVLE_RDTBEM038,SOM-INTN01_RDTSCB003,0
RN568_1_MPG_VLE,MPG,0
RN568_2_MPG_VLE,MPG,2
RN568_1_MPG_VRA,MPG,1
RN568_2_MPG_VRA,MPG,3
A51_1_M1O_VLE,M1O,0
A51_2_M1o_VRA,M1O,3
A51_1_M1O_VRA,M1O,1
A51_2_M1o_VLE,M1O,2
SBM-INTVLE_RDTCMA025,SBM-TPCCEN_RDTSTC002,2
BS04INTVLE_RDTCMA023,SBM-TPCCEN_RDTSTC002,0
SBM-INTVRA_RDTCMA029,SBM-TPCCEN_RDTSTC002,6
SBM-INTVMD_RDTCMA027,SBM-TPCCEN_RDTSTC002,4
BE04EXTVLE_RDTCMA015,SBM-TPCCEN_RDTSTC002,1
SBM-EXTVMD_RDTCMA019,SBM-TPCCEN_RDTSTC002,5
SBM-EXTVLE_RDTCMA017,SBM-TPCCEN_RDTSTC002,3
SBM-EXTVRA_RDTCMA021,SBM-TPCCEN_RDTSTC002,7
A51_1_M1T_VLE,M1T,0
A51_2_M1t_VLE,M1T,2
A51_1_M1T_VRA,M1T,1
A51_2_M1t_VRA,M1T,3
A501_2_M4m_VRA,M4m,3
A501_2_M4m_VLE,M4m,2
A501_1_M4M_VLE,M4m,0
A501_1_M4M_VRA,M4m,1
A7_1_M7T_VMD,M7T,2
A7_1_M7T_VLE,M7T,1
A7_1_M7T_BRE,M7T,0
A7_1_M7T_VRA,M7T,3
A7_1_M7Q_VLE,M7Q,0
A7_1_M7Q_VRA,M7Q,2
A7_1_M7Q_VMD,M7Q,1
A7_1_M7U_VLE,M7U,0
A7_1_m7U_VLE,M7U,2
A7_1_M7U_VRA,M7U,1
A7_1_m7U_VRA,M7U,3
A50_1_M3Y_VMD,M3Y,1
A50_1_M3Y_VLE,M3Y,0
A50_1_M3Y_VRA,M3Y,2
A51_1_M1A_VRA,M1A,1
A51_1_M1A_VLE,M1A,0
A7_2_M7i_VLE,M7i,0
A7_2_M7i_VMD,M7i,1
A7_2_M7i_VRA,M7i,2
A55_1_M5V_VRA,M5v,2
A55_2_M5v_VRA,M5v,4
A55_2_M5v_VLE,M5v,3
A55_1_M5V_VMD,M5v,1
A55_1_M5V_VLE,M5v,0
A51_1_M1H_VLE,M1H,0
A51_1_M1H_VRA,M1H,2
A51_1_M1H_VMD,M1H,1
A50_2_M3m_VMD,M3m,4
A50_2_M3m_VLE,M3m,3
A50_1_M3M_VLE,M3m,0
A50_2_M3m_VRA,M3m,5
A50_1_M3M_VRA,M3m,2
A50_1_M3M_VMD,M3m,1
A7_2_M8g_VLE,M8g,0
A7_2_M8g_VRA,M8g,2
A7_2_M8g_VMD,M8g,1
A55_2_m5e_VLE,M5e,0
A55_2_M5e_VLE,M5e,2
A55_2_m5e_VRA,M5e,1
A55_2_M5e_VRA,M5e,3
A50_1_M3Z_VLE,M3Z,0
A50_1_M3Z_VRA,M3Z,2
A50_1_M3Z_VMD,M3Z,1
SJO-INTVLE_RDTCMA009,TOL-EXTN04_RDTSTC001,2
BS02INTVLE_RDTCMA007,TOL-EXTN04_RDTSTC001,0
SJO-INTVRA_RDTCMA011,TOL-EXTN04_RDTSTC001,4
SJO-EXTVLE_RDTCMA003,TOL-EXTN04_RDTSTC001,3
BE02EXTVLE_RDTCMA001,TOL-EXTN04_RDTSTC001,1
SJO-EXTVRA_RDTCMA005,TOL-EXTN04_RDTSTC001,5
A50_2_M3d_VLE,M3d,0
A50_2_M3d_VRA,M3d,2
A50_2_M3d_VMD,M3d,1
A51_1_M1G_VMD,M1G,1
A51_1_M1G_VLE,M1G,0
A51_1_M1G_VRA,M1G,2
A50_2_M3z_VLE,M3z,0
A50_2_M3z_VRA,M3z,2
A50_2_M3z_VMD,M3z,1
A501_1_M4L_VLE,M4l,0
A501_2_M4l_VLE,M4l,2
A501_1_M4L_VRA,M4l,1
A501_2_M4l_VRA,M4l,3
A55_1_M5E_VRA,M5E,1
A55_1_M5E_VLE,M5E,0
A7_2_M8k_VRA,M8k,2
A7_2_M8k_VMD,M8k,1
A7_2_M8k_VLE,M8k,0
A7_2_M7u_VLE,M7u,0
A7_2_M7u_VRA,M7u,1
A7_2_M8o_VLE,M8o,0
A7_2_M8o_VRA,M8o,2
A7_2_M8o_VMD,M8o,1
A51_1_M1F_VMD,M1F,1
A51_1_m1F_BRE,M1F,3
A51_1_M1F_VRA,M1F,2
A51_1_M1F_VLE,M1F,0
A502_1_M4I_VLE,M4i,0
A502_2_M4i_VLE,M4i,2
A502_1_M4I_VRA,M4i,1
A502_2_M4i_VRA,M4i,3
A7_2_M8i_VMD,M8i,1
A7_2_M8i_VLE,M8i,0
A7_2_M8i_VRA,M8i,2
A50_1_M3V_VMD,M3V,1
A50_1_M3V_VLE,M3V,0
A50_1_M3V_VRA,M3V,2
A7_1_M8D_VLE,M8D,0
A7_1_M8D_VRA,M8D,2
A7_1_M8D_VMD,M8D,1
A50_1_M3N_VRA,M3N,2
A50_1_M3N_VMD,M3N,1
A50_1_M3N_VLE,M3N,0
A50_1_M3O_VLE,M3O,0
A50_1_M3O_VMD,M3O,1
A50_1_M3O_VRA,M3O,2
A7_1_M7S_BRE,M7S,0
A7_1_M7S_VLE,M7S,1
A7_1_M7S_VRA,M7S,3
A7_1_M7S_VMD,M7S,2
A50_2_M3a_VLE,M3a,0
A50_2_M3a_VRA,M3a,2
A50_2_M3a_VMD,M3a,1
A50_2_M3c_VMD,M3c,1
A50_2_M3c_VLE,M3c,0
A50_2_M3c_VRA,M3c,2
A51_2_M1i_VLE,M1i,0
A51_2_M1i_VRA,M1i,2
A51_2_M1i_BAU,M1i,3
A51_2_M1i_VMD,M1i,1
RN568_2_MPF_VLE,MPF,2
RN568_1_MPF_VRA,MPF,1
RN568_2_MPF_VRA,MPF,3
RN568_1_MPF_VLE,MPF,0
