Code PM,Libellé,PR début,PR fin,Sens,Axe,QT_MIN (6s),QT_MAX (6s),VT_MIN (6s),VT_MAX (6s),TT_MIN (6s),TT_MAX (6s),Lg Elec (m),Code Groupe Seuil,Envoi MI2,Code MISOL2,Envoi TIPI,Code TIPI
m8a,PME_A7_2_271+851_m8a,271+851,272+351,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm813.a,OUI,Mm813.a2
M8b,PME_A7_2_272+375_M8b,272+375,272+875,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.b,OUI,MM813.b2
M8c,PME_A7_2_272+860_M8c,272+860,273+360,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.c,OUI,MM813.c2
M8d,PME_A7_2_273+440_M8d,273+440,273+940,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.d,OUI,MM813.d2
M8e,PME_A7_2_273+900_M8e,273+900,274+400,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.e,OUI,MM813.e2
M8f,PME_A7_2_274+450_M8f,274+450,274+950,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.f,OUI,MM813.f2
M8g,PME_A7_2_275+090_M8g,275+090,275+590,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.g,OUI,MM813.g2
M8h,PME_A7_2_275+695_M8h,275+695,276+195,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.h,OUI,MM813.h2
M8i,PME_A7_2_276+238_M8i,276+238,276+738,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.i,OUI,MM813.i2
M8j,PME_A7_2_276+726_M8j,276+726,277+226,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.j,OUI,MM813.j2
M8k,PME_A7_2_277+278_M8k,277+278,277+778,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.k,OUI,MM813.k2
M8n,PME_A7_2_279+086_M8n,279+086,279+586,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.n,OUI,MM813.n2
M8o,PME_A7_2_279+614_M8o,279+614,280+114,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.o,OUI,MM813.o2
M8p,PME_A7_2_280+165_M8p,280+165,280+665,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.p,OUI,MM813.p2
M8r,PME_A7_2_281+000_M8r,281+000,281+500,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM813.r,NON,MM813.r2
M8s,PME_A7_2_281+700_M8s,281+700,282+86,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM813.s,NON,MM813.s2
M3A,PME_A50_1_0+763_M3A,0+392,1+263,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.A,OUI,MM313.A1
M3B,PME_A50_1_1+040_M3B,1+040,1+540,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.B,OUI,MM313.B1
M3C,PME_A50_1_1+346_M3C,1+346,1+846,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.C,OUI,MM313.C1
M3D,PME_A50_1_1+871_M3D,1+871,2+371,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.D,OUI,MM313.D1
M3E,PME_A50_1_2+255_M3E,2+255,2+755,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.E,OUI,MM313.E1
M3H,PME_A50_1_3+886_M3H,3+886,4+386,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.H,OUI,MM313.H1
M3I,PME_A50_1_4+300_M3I,4+300,4+800,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.I,OUI,MM313.I1
M3J,PME_A50_1_4+794_M3J,4+794,5+294,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.J,OUI,MM313.J1
M3K,PME_A50_1_5+252_M3K,5+252,5+752,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.K,OUI,MM313.K1
M3L,PME_A50_1_5+716_M3L,5+716,6+216,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.L,OUI,MM313.L1
M3M,PME_A50_1_6+309_M3M,6+309,6+809,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.M,OUI,MM313.M1
M3N,PME_A50_1_6+715_M3N,6+715,7+215,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.N,OUI,MM313.N1
M3O,PME_A50_1_7+259_M3O,7+259,7+759,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.O,OUI,MM313.O1
M3P,PME_A50_1_7+805_M3P,7+805,8+305,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.P,OUI,MM313.P1
M3Q,PME_A50_1_8+285_M3Q,8+285,8+785,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.Q,OUI,MM313.Q1
M3R,PME_A50_1_8+745_M3R,8+745,9+245,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.R,OUI,MM313.R1
M3U,PME_A50_1_9+316_M3U,9+316,9+816,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.U,OUI,MM313.U1
M3V,PME_A50_1_9+814_M3V,9+814,10+314,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.V,OUI,MM313.V1
M3W,PME_A50_1_10+300_M3W,10+300,10+800,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.W,OUI,MM313.W1
M3X,PME_A50_1_10+795_M3X,10+795,11+295,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.X,OUI,MM313.X1
M3Y,PME_A50_1_11+267_M3Y,11+267,11+767,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.Y,OUI,MM313.Y1
M3Z,PME_A50_1_11+807_M3Z,11+807,12+307,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.Z,OUI,MM313.Z1
M4B,PME_A50_1_12+818_M4B,12+407,13+318,1,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.B,OUI,MM413.B1
M3a,PME_A50_2_0+763_M3a,0+438,1+263,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.a,OUI,MM313.a2
M3b,PME_A50_2_1+040_M3b,1+040,1+540,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.b,OUI,MM313.b2
M3c,PME_A50_2_1+346_M3c,1+346,1+846,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.c,OUI,MM313.c2
M3d,PME_A50_2_1+871_M3d,1+871,2+371,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.d,OUI,MM313.d2
M3e,PME_A50_2_2+255_M3e,2+255,2+755,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.e,OUI,MM313.e2
M3h,PME_A50_2_3+886_M3h,3+886,4+386,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.h,OUI,MM313.h2
M3i,PME_A50_2_4+300_M3i,4+300,4+800,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.i,OUI,MM313.i2
M3j,PME_A50_2_4+794_M3j,4+794,5+294,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.j,OUI,MM313.j2
M3k,PME_A50_2_5+252_M3k,5+252,5+752,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.k,OUI,MM313.k2
M3l,PME_A50_2_5+716_M3l,5+716,6+216,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.l,OUI,MM313.l2
M3m,PME_A50_2_6+309_M3m,6+309,6+809,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.m,OUI,MM313.m2
M3n,PME_A50_2_6+715_M3n,6+715,7+215,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.n,OUI,MM313.n2
M3o,PME_A50_2_7+259_M3o,7+259,7+759,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.o,OUI,MM313.o2
M3p,PME_A50_2_7+805_M3p,7+805,8+305,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.p,OUI,MM313.p2
M3q,PME_A50_2_8+285_M3q,8+285,8+785,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.q,OUI,MM313.q2
M3r,PME_A50_2_8+745_M3r,8+745,9+245,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.r,OUI,MM313.r2
M3u,PME_A50_2_9+316_M3u,9+316,9+816,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.u,OUI,MM313.u2
M3v,PME_A50_2_9+814_M3v,9+814,10+314,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.v,OUI,MM313.v2
M3w,PME_A50_2_10+300_M3w,10+300,10+800,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.w,OUI,MM313.w2
M3x,PME_A50_2_10+795_M3x,10+795,11+295,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.x,OUI,MM313.x2
M3y,PME_A50_2_11+267_M3y,11+267,11+767,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.y,OUI,MM313.y2
M3z,PME_A50_2_11+807_M3z,11+807,12+307,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM313.z,OUI,MM313.z2
M4b,PME_A50_2_12+818_M4b,12+407,13+318,2,A50,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM413.b,OUI,MM413.b2
mbh,PME_A51_2_4+096_Mbh,4+196,4+296,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mm113.h,NON,Mmb13.h2
mbi,PME_A51_2_4+593_mbi,4+693,4+793,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mmb13.i,NON,Mmb13.i2
M5U,PME_A55_1_10+310_M5U,10+310,10+722,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.U,OUI,MM513.U1
M5T,PME_A55_1_9+745_M5T,9+745,10+210,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.T,OUI,MM513.T1
M5V,PME_A55_1_10+822_M5V,10+822,11+322,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.V,OUI,MM513.V1
m7N,PME_A7_1_267+230_m7N,0+000,0+500,2,A552,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm713.N,OUI,Mm713.N1
mBR,PME_A7_1_281+000_mBR,281+600,281+680,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm813.R,NON,Mm813.R1
mBS,PME_A7_1_281+700_mBS,282+000,282+100,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm813.S,NON,Mm813.S1
M8q,PME_A7_2_280+360_M8q,280+765,280+900,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM813.q,NON,MM813.q2
BE04-EXT-RDTSTC002,PME-BE04-STC002-EXT,6+205,6+205,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.2,NON,MM213.22
BS02-EXT-RDTSTC001,PME-BS02-STC001-EXT,3+775,3+775,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.8,NON,MM213.82
BS04-INT-RDTSTC002,PME-BS04-STC002-INT,6+230,6+230,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.S,NON,MM213.S1
TOL-EXT_RDTSTC001,PME-TOL-STC001-EXT,2+571,3+165,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mm213.e,NON,Mm213.e2
TMA-EXT_RDTSCB002,PME-TMA-SCB002-EXT,0+696,1+310,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mm213.c,NON,Mm213.c2
BS05-INT-RDTSTC002,PME-BS05-STC002-INT,7+650,7+650,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.R,NON,MM213.R1
SMA-INT_RDTSCB001,PME-MIN-SCB001-INT,0+511,0+695,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.B,NON,MM213.B1
TFO-INT_RDTSTC002,PME-TFO-STC002-INT,7+711,7+740,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.K,NON,MM213.K1
SFB-INT_RDTSCB001,PME-TMO-STC002-INT,6+321,7+110,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.J,OUI,MM213.J1
TMA-INT_RDTSCB002,PME-TMA-SCB002-INT,0+696,1+310,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.C,NON,MM213.C1
SOM-INT_RDTSCB003,PME-TMA-SCB003-INT,1+311,2+570,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.D,NON,MM213.D1
BS03-INT-RDTSTC002,PME-BS03-STC002-INT,4+225,4+225,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.T,NON,MM213.T1
SBM-EXT_RDTSTC002,PME-TMO-STC002-EXT,4+946,6+320,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.i,NON,MM213.i2
BE05-EXT-RDTSTC001,PME-BE05-STC001-EXT,7+610,7+610,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.1,NON,MM213.12
SBM-INT_RDTSTC002,PME-TMO-STC001-INT,4+871,6+320,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.I,NON,MM213.I1
BQU-EXT-RDTSCB002,PME-BQU-SCB002-EXT,1+500,1+500,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.9,NON,MM213.92
SOM-EXT_RDTSCB003,PME-TMA-SCB003-EXT,1+311,2+570,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mm213.d,NON,Mm213.d2
BE06-EXT-RDTSTC001,PME-BE06-STC001-EXT,8+540,8+540,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.0,NON,MM213.02
SFB-EXT_RDTSCB001,PME-TFO-CB001-EXT,6+321,7+110,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.j,OUI,MM213.j2
TPA-EXT_RDTSTC001,PME-TPA-STC001-EXT,8+076,8+665,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.o,OUI,MM213.o2
TPA-EXT_RDTSTC002,PME-TPA-STC002-EXT,7+741,8+075,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.n,OUI,MM213.n2
TPA-EXT_RDTSTC004,PME-A50-STC004-EXT,8+666,9+306,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.p,OUI,MM213.p2
STJ-EXT_RDTSTC001,PME-TJE-STC001-EXT,3+166,3+735,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.f,NON,MM213.f2
EAR-INT_RDTSTC030,PME-ARN-STC030-INT,0+000,0+510,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.A,NON,MM213.A1
BS02-INT-RDTSTC001,PME-BS02-STC001-INT,2+970,2+970,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.U,NON,MM213.U1
BE04-INT-RDTSCB001,PME-BE04-SCB001-INT,7+370,7+370,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.W,NON,MM213.W1
SMA-EXT_RDTSCB001,PME-MIN-SCB001-EXT,0+511,0+695,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mm213.b,NON,Mm213.b2
BS04-EXT-RDTSCB001,PME-BS04-SCB001-EXT,7+400,7+400,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.6,NON,MM213.62
BE02-EXT-RDTSTC001,PME-BE02-STC001-EXT,3+060,3+060,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.4,NON,MM213.42
SPF-EXT_RDTSTC001,PME-TFO-STC001-EXT,7+111,7+740,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.k,OUI,MM213.k2
SMT-INT_RDTSTC001,PME-TTI-STC002-INT,4+276,4+870,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.H,NON,MM213.H1
SMT-INT_RDTSTC002,PME-TTI-STC002-INT,3+736,4+275,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.G,NON,MM213.G1
STJ-INT_RDTSTC001,PME-TTI-STC001-INT,3+166,3+735,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.F,NON,MM213.F1
EAR-EXT_RDTSTC030,PME-ARN-STC030-EXT,0+000,0+510,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mm213.a,NON,Mm213.a2
BS06-INT-RDTSTC001,PME-BS06-STC001-INT,8+685,8+685,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.Q,NON,MM213.Q1
SMT-EXT_RDTSTC002,PME-TTI-STC002-EXT,3+736,4+250,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.g,NON,MM213.g2
SMT-EXT_RDTSTC001,PME-TMO-STC001-EXT,4+251,4+945,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.h,NON,MM213.h2
BE05-INT-RDTSTC003,PME-BE05-STC003-INT,8+170,8+170,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.V,NON,MM213.V1
BE03-EXT-RDTSTC002,PME-BE03-STC002-EXT,4+155,4+155,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.3,NON,MM213.32
TOL-INT_RDTSTC001,PME-TOL-STC001-INT,2+571,3+165,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.E,NON,MM213.E1
BE02-INT-RDTSTC001,PME-BE02-STC001-INT,3+800,3+800,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.Y,NON,MM213.Y1
TPA-INT_RDTSTC004,PME-A50-STC004-INT,8+745,9+306,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.P,OUI,MM213.P1
TPA-INT_RDTSTC001,PME-TPA-STC001-INT,8+084,8+745,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.O,NON,MM213.O1
TPA-INT_RDTSTC003,PME-TPA -STC003-INT,7+741,8+083,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM213.N,OUI,MM213.N1
BS03-EXT-RDTSTC001,PME-BS03-STC001-EXT,5+160,5+160,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.7,NON,MM213.72
BE03-INT-RDTSTC001,PME-BE03-STC001-INT,5+160,5+160,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.X,NON,MM213.X1
BS05-EXT-RDTSTC002,PME-BS05-STC002-EXT,8+200,8+200,2,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.5,NON,MM213.52
BE01-INT-RDTSTC030,PME-BE01-STC030-INT,0+535,0+535,1,A507,0,60,0,300,0,100,"0,2",SEUIL_01,NON,MM213.Z,NON,MM213.Z1
MPB,PME_RN568_4+470_1_MPB,4+470,5+470,1,N568,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.B,NON,MMP13.B1
MPA,PME_RN113_66+700_1_MPA,66+700,67+200,1,N113_13 ,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.A,NON,MMP13.A1
MPF,PME_RN568_25+350_1_MPF,25+350,26+350,1,N568,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.F,NON,MMP13.F1
MPH,PME_RN113_60+1000_1_MPH,60+1000,61+900,1,N113_13 ,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.H,NON,MMP13.H1
MPG,PME_RN568_9+250_1_MPG,9+250,10+250,1,N568,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.G,NON,MMP13.G1
MPb,PME_RN568_4+470_2_MPb,4+470,5+470,2,N568,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.b,NON,MMP13.b2
MPa,PME_RN113_66+700_2_MPa,66+700,67+200,2,N113_13 ,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.a,NON,MMP13.a2
MPf,PME_RN568_25+350_2_MPf,25+350,26+350,2,N568,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.f,NON,MMP13.f2
MPh,PME_RN113_60+1000_2_MPh,60+1000,61+900,2,N113_13 ,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.h,NON,MMP13.h2
MPg,PME_RN568_9+250_2_MPG,9+250,10+250,2,N568,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMP13.g,NON,MMP13.g2
MBO,PME_RN568_30+980_1_MBO,30+980,31+800,1,N568,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMB13.O,NON,MMB13.O1
MBS,PME_RN113_73+980_1_MBS,73+980,74+480,1,N113_13 ,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMB13.S,NON,MMB13.S1
MBo,PME_RN568_30+980_2_MBo,30+980,31+800,2,N568,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMB13.o,NON,MMB13.o2
MBs,PME_RN113_73+980_2_MBs,73+980,74+480,2,N113_13 ,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMB13.s,NON,MMB13.s2
MBT,PME_RN569_5+068_1_MBT,5+068,5+500,1,N569,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMB13.T,NON,MMB13.T1
MBt,PME_RN569_5+068_2_MBt,5+068,5+500,2,N569,0,600,0,300,0,100,"0,2",SEUIL_01,OUI,MMB13.t,NON,MMB13.t2
mba,PME_A51_2_0+430_mba,0+830,0+930,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mmb13.a,NON,Mmb13.a2
mbd,PME_A51_2_2+030_M1d,2+430,2+530,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mmb13.d,NON,Mmb13.d2
mbc,PME_A51_2_1+508_mbc,1+908,2+008,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mmb13.c,NON,Mmb13.c2
